Tweet ID,Content,Date,clean_tweet,language,tokens
1932513994868187138,vei esse módulo de ecla n faz sentido nenhum uma hora eu to vendo sobre ist e infecção urinária ai dps do nada tuberculose,"June 10, 2025 at 07:03 PM",vei esse módulo de ecla n faz sentido nenhum uma hora eu to vendo sobre ist e infecção urinária ai dps do nada tuberculose,pt,vei módulo ecla sentido nenhum hora ver ist infecção urinário dps tuberculose
1932507835130368147,"@weedtonina @livbadbiatch @ogmtbmr Bgl é sério, meu parceiro tem princípio de tuberculose por causa disso","June 10, 2025 at 06:39 PM", bgl é sério meu parceiro tem princípio de tuberculose por causa disso,pt,bgl sério parceiro princípio tuberculose causa
1932492250392461526,"14:37 ATENDIMENTO PRÉ-HOSPITALAR local: Avenida Michele Simoneti, SÃO MIGUEL, #FRAIBURGO - masculino idoso acamado - tuberculose e dificuldade de locomoção","June 10, 2025 at 05:37 PM",  atendimento pré hospitalar local avenida michele simoneti são miguel masculino idoso acamado tuberculose e dificuldade de locomoção,pt,atendimento pré hospitalar avenida me ichele simoneti miguel masculino idoso acamar tuberculose dificuldade locomoção
1932486230177890656,"Rússia e Ucrânia realizaram nesta terça seu segundo intercâmbio de prisioneiros em dois dias. Segundo Budanov, chefe da inteligência ucraniana, todos os libertos sofreram ferimentos graves ou doenças: amputações, estilhaços, cegueira, infecções, hepatite e tuberculose. https://t.co/TRf2D70xqG","June 10, 2025 at 05:13 PM",rússia e ucrânia realizaram nesta terça seu segundo intercâmbio de prisioneiros em dois dias segundo budanov chefe da inteligência ucraniana todos os libertos sofreram ferimentos graves ou doenças amputações estilhaços cegueira infecções hepatite e tuberculose ,pt,rússia ucrânia realizar terça intercâmbio prisioneiro dia budanov chefe inteligência ucraniano liberto sofrer ferimento grave doença amputação estilhaço cegueira infecção hepatite tuberculose
1932473172374204727,"ela treinando pesado mesmo doente com 100 de febre, trombose, grávida, asma atacada, cega de um olho, hérnia de disco, diarreia, cólica, covid-19, peste bubônica e tuberculose mds é a rookie do século entreguem o prêmio 
https://t.co/18ILVLX1bY","June 10, 2025 at 04:21 PM",ela treinando pesado mesmo doente com  de febre trombose grávida asma atacada cega de um olho hérnia de disco diarreia cólica covid  peste bubônica e tuberculose mds é a rookie do século entreguem o prêmio ,pt,treinar pesar doente febre trombose grávir asma atacar cega olho hérnia disco diarreia cólico covid peste bubônico tuberculose mds rookie século entreguir prêmio
1932472004588056797,"@patoninha foi nessa q eu tive tuberculose na semana do enem e tive q fazer segunda chamada, perdi os últimos dias de aula do ensino medio, nao consegui estudar pra uerj e acabou q por pouco minha nota n foi suficiente e vou ter q fazer vestibular d novo, vão no medico galera pelo amor","June 10, 2025 at 04:16 PM", foi nessa q eu tive tuberculose na semana do enem e tive q fazer segunda chamada perdi os últimos dias de aula do ensino medio nao consegui estudar pra uerj e acabou q por pouco minha nota n foi suficiente e vou ter q fazer vestibular d novo vão no medico galera pelo amor,pt,tuberculose semana enem chamada perdi último dia aula ensino medio nao conseguir estudar uerj acabar nota suficiente ir vestibular medico galera amor
1932467783649927576,"@Liam_TimeNest Eu não entendi

Por que o hit começo a levar stun do nada? ganho tuberculose no meio da luta?","June 10, 2025 at 03:59 PM", eu não entendi por que o hit começo a levar stun do nada ganho tuberculose no meio da luta ,pt,entender hit começar levar stun ganhar tuberculose luta
1932427728936182069,"@LocalBateman Toda vez que meu professor de fsiopatologia fala sobre tuberculose eu imito ele, ta no meu coração…","June 10, 2025 at 01:20 PM", toda vez que meu professor de fsiopatologia fala sobre tuberculose eu imito ele ta no meu coração…,pt,professor fsiopatologia falar tuberculose imito coração
1932392172101484668,"Hoje tá fazendo 9 anos que perdi meu pai pra tuberculose e sei lá, parece que esse dia nunca fica mais fácil, oq resta ainda é saudade","June 10, 2025 at 10:59 AM",hoje tá fazendo  anos que perdi meu pai pra tuberculose e sei lá parece que esse dia nunca fica mais fácil oq resta ainda é saudade,pt,hoje fazer ano perdi pai tuberculose ficar fácil restar saudade
1932361759802732625,Nederlandse NGO-sector roept op tot een verhoogde Nederlandse bijdrage aan  het Global Fund | KNCV Tuberculose https://t.co/blrksFeomL,"June 10, 2025 at 08:58 AM",nederlandse ngo sector roept op tot een verhoogde nederlandse bijdrage aan het global fund kncv tuberculose ,nl,nederlandse ngo sector roept tot een verhoogde nederlandse bijdrage aan het global fund kncv tuberculose
